"measure","region","cohort","n","mean_z","sd_z"
"area","rh_postcentral_area","patient",442,-0.0384545278240755,1.11091272891729
"thickness","rh_postcentral_thickness","patient",442,-0.0380677183899649,1.09680633557424
"area","rh_posteriorcingulate_area","patient",442,-0.329996063569817,1.11325341093084
"thickness","rh_posteriorcingulate_thickness","patient",442,0.0759883379620102,1.26399903183541
"area","rh_precentral_area","patient",442,0.068642929227573,1.14297878691
"thickness","rh_precentral_thickness","patient",442,-0.528982436170929,1.36393325257839
"area","rh_precuneus_area","patient",442,0.124021413995189,1.10639602303396
"thickness","rh_precuneus_thickness","patient",442,-0.531416961513803,1.16383963556622
"area","rh_rostralanteriorcingulate_area","patient",442,-0.0173963049092765,1.01247291042423
"thickness","rh_rostralanteriorcingulate_thickness","patient",442,0.213439921879859,1.1144412509452
"area","rh_rostralmiddlefrontal_area","patient",442,0.205885358274798,1.33434135856671
"thickness","rh_rostralmiddlefrontal_thickness","patient",442,1.07842402155787,1.24685689876565
"area","rh_superiorfrontal_area","patient",442,0.401349770445065,1.18102734703859
"thickness","rh_superiorfrontal_thickness","patient",442,0.0968149417593488,1.09541957993532
"area","rh_superiorparietal_area","patient",442,-0.0477487139231438,1.18977435158178
"thickness","rh_superiorparietal_thickness","patient",442,-0.634394860954885,0.988756778052625
"area","rh_superiortemporal_area","patient",442,0.0664772562219074,1.22944074634802
"thickness","rh_superiortemporal_thickness","patient",442,0.129407012680543,1.12611449720339
"area","rh_supramarginal_area","patient",442,-0.0114734878910952,1.10442319318059
"thickness","rh_supramarginal_thickness","patient",442,0.178430023884845,1.21024516382344
"area","rh_temporalpole_area","patient",442,-0.145055611251636,1.21527797594948
"thickness","rh_temporalpole_thickness","patient",442,-0.388933603155884,1.20741413702697
"area","rh_transversetemporal_area","patient",442,0.388972638775373,1.08740795752858
"thickness","rh_transversetemporal_thickness","patient",442,-0.262837383630563,1.14244997709653
"subcortical","Right-Accumbens-area","patient",442,-0.428973491931349,1.2150774235727
"subcortical","Right-Amygdala","patient",442,-0.0528776814695769,1.36321513239258
"subcortical","Right-Caudate","patient",442,-0.243498569989938,1.1562033369649
"subcortical","Right-Hippocampus","patient",442,-0.617938986474446,1.86358108415181
"subcortical","Right-Pallidum","patient",442,0.300854414333142,1.48610864604231
"subcortical","Right-Putamen","patient",442,-0.38008402726977,1.14336718187103
"subcortical","Right-Thalamus","patient",442,-0.274005892488687,1.60937807161905
