measure,region,GAMLSS,MFP,diff_SD
thickness,rh_parahippocampal_thickness,1.0153476495986755,1.0176459196526875,-0.0022982700540119527
thickness,rh_parsopercularis_thickness,0.9329277647633395,0.9939039278654034,-0.060976163102063885
thickness,rh_parsorbitalis_thickness,0.9656031333356718,0.9616808649722696,0.003922268363402259
thickness,rh_parstriangularis_thickness,0.9927081541771522,1.0317326200541388,-0.0390244658769866
thickness,rh_pericalcarine_thickness,1.2917991666567112,1.3327285060552168,-0.040929339398505515
thickness,rh_postcentral_thickness,0.9154809230274571,0.9381091684301408,-0.02262824540268371
thickness,rh_posteriorcingulate_thickness,0.9993182376633032,1.0162011371813817,-0.01688289951807853
thickness,rh_precentral_thickness,0.89712187749977,0.9825296819788447,-0.0854078044790747
thickness,rh_precuneus_thickness,0.9439522011493927,1.0641480281251594,-0.1201958269757667
thickness,rh_rostralanteriorcingulate_thickness,0.9840842659950092,0.9763209314567907,0.007763334538218536
thickness,rh_rostralmiddlefrontal_thickness,1.1992347994229522,1.3614799907497923,-0.16224519132684012
thickness,rh_superiorfrontal_thickness,1.0342552113216972,1.0167194580771266,0.017535753244570573
thickness,rh_superiorparietal_thickness,0.8758112003024703,0.9602228552121667,-0.08441165490969638
thickness,rh_superiortemporal_thickness,0.9075325462022574,0.9912369831751502,-0.08370443697289276
thickness,rh_supramarginal_thickness,0.9529334911844409,1.094714158963331,-0.14178066777888998
thickness,rh_temporalpole_thickness,0.8647139848625138,0.8495628733286746,0.01515111153383919
thickness,rh_transversetemporal_thickness,0.98746360737001,1.0269165361600967,-0.03945292879008666
